File Created: 	2019-10-02 11.51.20						
Gas Name:	Ar	H2	H2				
123,025	50,000	0,000	0,000	50,059	0,000	0,172	0,0
124,071	50,000	0,000	0,000	50,056	0,000	0,184	0,0
125,021	50,000	0,000	0,000	50,056	0,000	0,203	0,0
126,066	50,000	0,000	0,000	50,031	0,000	0,194	0,0
127,015	50,000	0,000	0,000	50,069	0,000	0,200	0,0
128,060	50,000	0,000	0,000	50,059	0,000	0,212	0,0
129,010	50,000	0,000	0,000	50,062	0,000	0,209	0,0
130,056	50,000	0,000	0,000	50,053	0,000	0,178	0,0
131,005	50,000	0,000	0,000	50,062	0,000	0,166	0,0
132,050	50,000	0,000	0,000	50,050	0,000	0,172	0,0
133,000	50,000	0,000	0,000	50,056	0,000	0,194	0,0
134,045	50,000	0,000	0,000	50,047	0,000	0,172	0,0
135,091	50,000	0,000	0,000	50,059	0,000	0,191	0,0
136,040	50,000	0,000	0,000	50,069	0,000	0,178	0,0
137,086	50,000	0,000	0,000	50,047	0,000	0,175	0,0
138,035	50,000	0,000	0,000	50,050	0,000	0,166	0,0
139,080	50,000	0,000	0,000	50,062	0,000	0,169	0,0
140,030	50,000	0,000	0,000	50,050	0,000	0,203	0,0
141,075	50,000	0,000	0,000	50,059	0,000	0,150	0,0
142,025	50,000	0,000	0,000	50,059	0,000	0,203	0,0
143,071	50,000	0,000	0,000	50,044	0,000	0,191	0,0
144,020	50,000	0,000	0,000	50,053	0,000	0,187	0,0
145,066	50,000	0,000	0,000	50,059	0,000	0,175	0,0
146,015	50,000	0,000	0,000	50,069	0,000	0,200	0,0
147,060	50,000	0,000	0,000	50,062	0,000	0,212	0,0
148,010	50,000	0,000	0,000	50,031	0,000	0,197	0,0
149,055	50,000	0,000	0,000	50,056	0,000	0,200	0,0
150,005	50,000	0,000	0,000	50,044	0,000	0,147	0,0
151,051	50,000	0,000	0,000	50,050	0,000	0,184	0,0
152,000	50,000	0,000	0,000	50,053	0,000	0,172	0,0
153,045	50,000	0,000	0,000	50,062	0,000	0,231	0,0
154,091	50,000	0,000	0,000	50,062	0,000	0,200	0,0
155,040	50,000	0,000	0,000	50,047	0,000	0,212	0,0
156,085	50,000	0,000	0,000	50,053	0,000	0,175	0,0
157,036	50,000	0,000	0,000	50,044	0,000	0,197	0,0
158,080	50,000	0,000	0,000	50,066	0,000	0,206	0,0
159,031	50,000	0,000	0,000	50,075	0,000	0,209	0,0
160,076	50,000	0,000	0,000	50,053	0,000	0,153	0,0
161,026	50,000	0,000	0,000	50,047	0,000	0,184	0,0
162,070	50,000	0,000	0,000	50,050	0,000	0,203	0,0
163,021	50,000	0,000	0,000	50,069	0,000	0,181	0,0
164,065	50,000	0,000	0,000	50,053	0,000	0,181	0,0
165,015	50,000	0,000	0,000	50,053	0,000	0,200	0,0
166,060	50,000	0,000	0,000	50,053	0,000	0,184	0,0
167,010	50,000	0,000	0,000	50,047	0,000	0,169	0,0
168,056	50,000	0,000	0,000	50,062	0,000	0,194	0,0
169,005	50,000	0,000	0,000	50,056	0,000	0,166	0,0
170,051	50,000	0,000	0,000	50,056	0,000	0,184	0,0
171,000	50,000	0,000	0,000	50,056	0,000	0,169	0,0
172,045	50,000	0,000	0,000	50,053	0,000	0,169	0,0
173,090	50,000	0,000	0,000	50,047	0,000	0,178	0,0
174,040	50,000	0,000	0,000	50,056	0,000	0,181	0,0
175,085	50,000	0,000	0,000	50,050	0,000	0,197	0,0
176,036	50,000	0,000	0,000	50,044	0,000	0,194	0,0
177,080	50,000	0,000	0,000	50,047	0,000	0,197	0,0
178,031	50,000	0,000	0,000	50,059	0,000	0,191	0,0
179,075	50,000	0,000	0,000	50,053	0,000	0,191	0,0
180,025	50,000	0,000	0,000	50,056	0,000	0,212	0,0
181,070	50,000	0,000	0,000	50,050	0,000	0,175	0,0
182,020	50,000	0,000	0,000	50,041	0,000	0,178	0,0
183,065	50,000	0,000	0,000	50,056	0,000	0,163	0,0
184,015	50,000	0,000	0,000	50,041	0,000	0,200	0,0
185,060	50,000	0,000	0,000	50,062	0,000	0,178	0,0
186,010	50,000	0,000	0,000	50,047	0,000	0,206	0,0
187,055	50,000	0,000	0,000	50,044	0,000	0,169	0,0
188,005	50,000	0,000	0,000	50,041	0,000	0,163	0,0
189,050	50,000	0,000	0,000	50,069	0,000	0,181	0,0
190,000	50,000	0,000	0,000	50,047	0,000	0,163	0,0
191,045	50,000	0,000	0,000	50,041	0,000	0,187	0,0
192,091	50,000	0,000	0,000	50,053	0,000	0,187	0,0
193,040	50,000	0,000	0,000	50,050	0,000	0,191	0,0
194,085	50,000	0,000	0,000	50,059	0,000	0,172	0,0
195,035	50,000	0,000	0,000	50,053	0,000	0,203	0,0
196,080	50,000	0,000	0,000	50,044	0,000	0,194	0,0
197,031	50,000	0,000	0,000	50,053	0,000	0,181	0,0
198,075	50,000	0,000	0,000	50,050	0,000	0,175	0,0
199,025	50,000	0,000	0,000	50,053	0,000	0,181	0,0
200,071	50,000	0,000	0,000	50,056	0,000	0,184	0,0
201,020	50,000	0,000	0,000	50,041	0,000	0,200	0,0
202,065	50,000	0,000	0,000	50,047	0,000	0,178	0,0
203,015	50,000	0,000	0,000	50,066	0,000	0,212	0,0
204,060	50,000	0,000	0,000	50,044	0,000	0,187	0,0
205,010	50,000	0,000	0,000	50,053	0,000	0,178	0,0
206,056	50,000	0,000	0,000	50,059	0,000	0,178	0,0
207,005	50,000	0,000	0,000	50,062	0,000	0,187	0,0
208,050	50,000	0,000	0,000	50,059	0,000	0,191	0,0
209,001	50,000	0,000	0,000	50,047	0,000	0,197	0,0
210,045	50,000	0,000	0,000	50,041	0,000	0,178	0,0
211,090	50,000	0,000	0,000	50,047	0,000	0,181	0,0
212,040	50,000	0,000	0,000	50,059	0,000	0,184	0,0
213,085	50,000	0,000	0,000	50,044	0,000	0,172	0,0
214,035	50,000	0,000	0,000	50,047	0,000	0,181	0,0
215,080	50,000	0,000	0,000	50,062	0,000	0,184	0,0
216,031	50,000	0,000	0,000	50,031	0,000	0,187	0,0
217,075	50,000	0,000	0,000	50,066	0,000	0,209	0,0
218,025	50,000	0,000	0,000	50,047	0,000	0,159	0,0
219,071	50,000	0,000	0,000	50,053	0,000	0,187	0,0
220,020	50,000	0,000	0,000	50,053	0,000	0,203	0,0
221,065	50,000	0,000	0,000	50,050	0,000	0,187	0,0
222,015	50,000	0,000	0,000	50,044	0,000	0,178	0,0
223,061	50,000	0,000	0,000	50,047	0,000	0,191	0,0
224,010	50,000	0,000	0,000	50,047	0,000	0,212	0,0
225,056	50,000	0,000	0,000	50,031	0,000	0,181	0,0
226,005	50,000	0,000	0,000	50,053	0,000	0,191	0,0
227,051	50,000	0,000	0,000	50,038	0,000	0,181	0,0
228,000	50,000	0,000	0,000	50,038	0,000	0,184	0,0
229,045	50,000	0,000	0,000	50,038	0,000	0,181	0,0
230,091	50,000	0,000	0,000	50,044	0,000	0,175	0,0
231,041	50,000	0,000	0,000	50,053	0,000	0,209	0,0
232,085	50,000	0,000	0,000	50,056	0,000	0,181	0,0
233,035	50,000	0,000	0,000	50,062	0,000	0,172	0,0
234,080	50,000	0,000	0,000	50,031	0,000	0,172	0,0
235,031	50,000	0,000	0,000	50,053	0,000	0,206	0,0
236,076	50,000	0,000	0,000	50,044	0,000	0,203	0,0
237,026	50,000	0,000	0,000	50,078	0,000	0,203	0,0
238,070	50,000	0,000	0,000	50,034	0,000	0,178	0,0
239,020	50,000	0,000	0,000	50,050	0,000	0,141	0,0
240,065	50,000	0,000	0,000	50,059	0,000	0,187	0,0
241,015	50,000	0,000	0,000	50,050	0,000	0,181	0,0
242,060	50,000	0,000	0,000	50,056	0,000	0,153	0,0
243,010	50,000	0,000	0,000	50,050	0,000	0,172	0,0
244,055	50,000	0,000	0,000	50,034	0,000	0,184	0,0
245,005	50,000	0,000	0,000	50,041	0,000	0,194	0,0
246,050	50,000	0,000	0,000	50,050	0,000	0,178	0,0
247,001	50,000	0,000	0,000	50,059	0,000	0,163	0,0
248,045	50,000	0,000	0,000	50,044	0,000	0,178	0,0
249,090	50,000	0,000	0,000	50,047	0,000	0,169	0,0
250,040	50,000	0,000	0,000	50,041	0,000	0,187	0,0
251,085	50,000	0,000	0,000	50,050	0,000	0,181	0,0
252,036	50,000	0,000	0,000	50,066	0,000	0,216	0,0
253,081	50,000	0,000	0,000	50,047	0,000	0,156	0,0
254,030	50,000	0,000	0,000	50,028	0,000	0,156	0,0
255,075	50,000	0,000	0,000	50,053	0,000	0,166	0,0
256,025	50,000	0,000	0,000	50,047	0,000	0,175	0,0
257,071	50,000	0,000	0,000	50,053	0,000	0,169	0,0
258,020	50,000	0,000	0,000	50,053	0,000	0,166	0,0
259,065	50,000	0,000	0,000	50,062	0,000	0,197	0,0
260,015	50,000	0,000	0,000	50,066	0,000	0,175	0,0
261,060	50,000	0,000	0,000	50,056	0,000	0,181	0,0
262,010	50,000	0,000	0,000	50,056	0,000	0,178	0,0
263,056	50,000	0,000	0,000	50,038	0,000	0,187	0,0
264,005	50,000	0,000	0,000	50,038	0,000	0,197	0,0
265,050	50,000	0,000	0,000	50,047	0,000	0,197	0,0
266,000	50,000	0,000	0,000	50,053	0,000	0,194	0,0
267,045	50,000	0,000	0,000	50,062	0,000	0,197	0,0
268,091	50,000	0,000	0,000	50,034	0,000	0,172	0,0
269,040	50,000	0,000	0,000	50,038	0,000	0,200	0,0
270,085	50,000	0,000	0,000	50,031	0,000	0,181	0,0
271,036	50,000	0,000	0,000	50,059	0,000	0,178	0,0
272,080	50,000	0,000	0,000	50,056	0,000	0,184	0,0
273,030	50,000	0,000	0,000	50,056	0,000	0,194	0,0
274,076	50,000	0,000	0,000	50,050	0,000	0,172	0,0
275,025	50,000	0,000	0,000	50,038	0,000	0,209	0,0
276,070	50,000	0,000	0,000	50,038	0,000	0,163	0,0
277,020	50,000	0,000	0,000	50,056	0,000	0,197	0,0
278,065	50,000	0,000	0,000	50,044	0,000	0,159	0,0
279,015	50,000	0,000	0,000	50,028	0,000	0,169	0,0
280,060	50,000	0,000	0,000	50,038	0,000	0,181	0,0
281,010	50,000	0,000	0,000	50,031	0,000	0,172	0,0
282,055	50,000	0,000	0,000	50,025	0,000	0,216	0,0
283,005	50,000	0,000	0,000	50,041	0,000	0,184	0,0
284,050	50,000	0,000	0,000	50,038	0,000	0,147	0,0
285,000	50,000	0,000	0,000	50,044	0,000	0,156	0,0
286,045	50,000	0,000	0,000	50,050	0,000	0,178	0,0
287,090	50,000	0,000	0,000	50,044	0,000	0,197	0,0
288,040	50,000	0,000	0,000	50,050	0,000	0,178	0,0
289,085	50,000	0,000	0,000	50,044	0,000	0,184	0,0
290,035	50,000	0,000	0,000	50,041	0,000	0,197	0,0
291,081	50,000	0,000	0,000	50,044	0,000	0,156	0,0
292,030	50,000	0,000	0,000	50,047	0,000	0,159	0,0
293,075	50,000	0,000	0,000	50,034	0,000	0,187	0,0
294,025	50,000	0,000	0,000	50,050	0,000	0,203	0,0
295,070	50,000	0,000	0,000	50,038	0,000	0,203	0,0
296,020	50,000	0,000	0,000	50,062	0,000	0,169	0,0
297,065	50,000	0,000	0,000	50,034	0,000	0,184	0,0
298,015	50,000	0,000	0,000	50,028	0,000	0,184	0,0
299,060	50,000	0,000	0,000	50,025	0,000	0,191	0,0
300,010	50,000	0,000	0,000	50,028	0,000	0,187	0,0
301,056	47,500	0,000	10,253	49,369	0,000	25,288	0,0
302,005	47,500	0,000	10,253	48,228	0,000	14,091	0,0
303,051	47,500	0,000	10,253	47,722	0,000	10,600	0,0
304,000	47,500	0,000	10,253	47,628	0,000	10,203	0,0
305,045	47,500	0,000	10,253	47,550	0,000	10,131	0,0
306,091	47,500	0,000	10,253	47,553	0,000	10,141	0,0
307,040	47,500	0,000	10,253	47,547	0,000	10,147	0,0
308,085	47,500	0,000	10,253	47,531	0,000	10,153	0,0
309,036	47,500	0,000	10,253	47,531	0,000	10,194	0,0
310,080	47,500	0,000	10,253	47,541	0,000	10,194	0,0
311,031	47,500	0,000	10,253	47,538	0,000	10,184	0,0
312,076	47,500	0,000	10,253	47,544	0,000	10,241	0,0
313,025	47,500	0,000	10,253	47,538	0,000	10,203	0,0
314,071	47,500	0,000	10,253	47,544	0,000	10,213	0,0
315,020	47,500	0,000	10,253	47,538	0,000	10,213	0,0
316,065	47,500	0,000	10,253	47,528	0,000	10,228	0,0
317,015	47,500	0,000	10,253	47,541	0,000	10,206	0,0
318,060	47,500	0,000	10,253	47,556	0,000	10,206	0,0
319,010	47,500	0,000	10,253	47,559	0,000	10,231	0,0
320,056	47,500	0,000	10,253	47,538	0,000	10,238	0,0
321,005	47,500	0,000	10,253	47,531	0,000	10,238	0,0
322,050	47,500	0,000	10,253	47,525	0,000	10,241	0,0
323,000	47,500	0,000	10,253	47,541	0,000	10,222	0,0
324,046	47,500	0,000	10,253	47,547	0,000	10,209	0,0
325,091	47,500	0,000	10,253	47,534	0,000	10,234	0,0
326,040	47,500	0,000	10,253	47,547	0,000	10,238	0,0
327,085	47,500	0,000	10,253	47,550	0,000	10,231	0,0
328,036	47,500	0,000	10,253	47,541	0,000	10,234	0,0
329,080	47,500	0,000	10,253	47,553	0,000	10,231	0,0
330,031	47,500	0,000	10,253	47,559	0,000	10,225	0,0
331,076	47,500	0,000	10,253	47,522	0,000	10,213	0,0
332,025	47,500	0,000	10,253	47,538	0,000	10,234	0,0
333,070	47,500	0,000	10,253	47,519	0,000	10,222	0,0
334,021	47,500	0,000	10,253	47,550	0,000	10,234	0,0
335,065	47,500	0,000	10,253	47,544	0,000	10,241	0,0
336,015	47,500	0,000	10,253	47,531	0,000	10,219	0,0
337,060	47,500	0,000	10,253	47,538	0,000	10,250	0,0
338,010	47,500	0,000	10,253	47,538	0,000	10,250	0,0
339,056	47,500	0,000	10,253	47,525	0,000	10,244	0,0
340,005	47,500	0,000	10,253	47,538	0,000	10,231	0,0
341,051	47,500	0,000	10,253	47,544	0,000	10,247	0,0
342,001	47,500	0,000	10,253	47,566	0,000	10,213	0,0
343,045	47,500	0,000	10,253	47,525	0,000	10,238	0,0
344,090	47,500	0,000	10,253	47,538	0,000	10,247	0,0
345,040	47,500	0,000	10,253	47,550	0,000	10,241	0,0
346,085	47,500	0,000	10,253	47,553	0,000	10,234	0,0
347,036	47,500	0,000	10,253	47,531	0,000	10,256	0,0
348,080	47,500	0,000	10,253	47,534	0,000	10,247	0,0
349,030	47,500	0,000	10,253	47,528	0,000	10,228	0,0
350,075	47,500	0,000	10,253	47,562	0,000	10,241	0,0
351,025	47,500	0,000	10,253	47,522	0,000	10,256	0,0
352,071	47,500	0,000	10,253	47,538	0,000	10,231	0,0
353,020	47,500	0,000	10,253	47,525	0,000	10,219	0,0
354,065	47,500	0,000	10,253	47,541	0,000	10,269	0,0
355,015	47,500	0,000	10,253	47,522	0,000	10,244	0,0
356,060	47,500	0,000	10,253	47,534	0,000	10,222	0,0
357,010	47,500	0,000	10,253	47,544	0,000	10,234	0,0
358,055	47,500	0,000	10,253	47,531	0,000	10,253	0,0
359,006	47,500	0,000	10,253	47,553	0,000	10,250	0,0
360,050	47,500	0,000	10,253	47,538	0,000	10,225	0,0
361,000	47,500	0,000	10,253	47,541	0,000	10,241	0,0
362,045	47,500	0,000	10,253	47,538	0,000	10,219	0,0
363,090	47,500	0,000	10,253	47,541	0,000	10,234	0,0
364,041	47,500	0,000	10,253	47,556	0,000	10,222	0,0
365,085	47,500	0,000	10,253	47,531	0,000	10,203	0,0
366,036	47,500	0,000	10,253	47,534	0,000	10,231	0,0
367,081	47,500	0,000	10,253	47,541	0,000	10,234	0,0
368,030	47,500	0,000	10,253	47,522	0,000	10,238	0,0
369,075	47,500	0,000	10,253	47,556	0,000	10,256	0,0
370,025	47,500	0,000	10,253	47,544	0,000	10,250	0,0
371,070	47,500	0,000	10,253	47,534	0,000	10,234	0,0
372,020	47,500	0,000	10,253	47,522	0,000	10,241	0,0
373,065	47,500	0,000	10,253	47,538	0,000	10,244	0,0
374,016	47,500	0,000	10,253	47,544	0,000	10,231	0,0
375,060	47,500	0,000	10,253	47,559	0,000	10,222	0,0
376,010	47,500	0,000	10,253	47,531	0,000	10,244	0,0
377,056	47,500	0,000	10,253	47,531	0,000	10,259	0,0
378,006	47,500	0,000	10,253	47,547	0,000	10,225	0,0
379,050	47,500	0,000	10,253	47,534	0,000	10,241	0,0
380,000	47,500	0,000	10,253	47,531	0,000	10,234	0,0
381,045	47,500	0,000	10,253	47,525	0,000	10,219	0,0
382,090	47,500	0,000	10,253	47,516	0,000	10,219	0,0
383,040	47,500	0,000	10,253	47,534	0,000	10,244	0,0
384,085	47,500	0,000	10,253	47,538	0,000	10,234	0,0
385,035	47,500	0,000	10,253	47,525	0,000	10,238	0,0
386,080	47,500	0,000	10,253	47,538	0,000	10,231	0,0
387,030	47,500	0,000	10,253	47,531	0,000	10,222	0,0
388,075	47,500	0,000	10,253	47,544	0,000	10,244	0,0
389,025	47,500	0,000	10,253	47,525	0,000	10,244	0,0
390,070	47,500	0,000	10,253	47,538	0,000	10,256	0,0
391,021	47,500	0,000	10,253	47,541	0,000	10,225	0,0
392,065	47,500	0,000	10,253	47,544	0,000	10,234	0,0
393,015	47,500	0,000	10,253	47,522	0,000	10,250	0,0
394,060	47,500	0,000	10,253	47,528	0,000	10,231	0,0
395,010	47,500	0,000	10,253	47,534	0,000	10,247	0,0
396,056	47,500	0,000	10,253	47,541	0,000	10,228	0,0
397,005	47,500	0,000	10,253	47,534	0,000	10,253	0,0
398,051	47,500	0,000	10,253	47,531	0,000	10,247	0,0
399,001	47,500	0,000	10,253	47,538	0,000	10,231	0,0
400,045	47,500	0,000	10,253	47,541	0,000	10,228	0,0
401,090	47,500	0,000	10,253	47,528	0,000	10,269	0,0
402,040	47,500	0,000	10,253	47,531	0,000	10,219	0,0
403,085	47,500	0,000	10,253	47,544	0,000	10,241	0,0
404,035	47,500	0,000	10,253	47,531	0,000	10,262	0,0
405,080	47,500	0,000	10,253	47,519	0,000	10,250	0,0
406,030	47,500	0,000	10,253	47,525	0,000	10,234	0,0
407,076	47,500	0,000	10,253	47,550	0,000	10,231	0,0
408,025	47,500	0,000	10,253	47,538	0,000	10,234	0,0
409,071	47,500	0,000	10,253	47,556	0,000	10,241	0,0
410,020	47,500	0,000	10,253	47,522	0,000	10,219	0,0
411,065	47,500	0,000	10,253	47,516	0,000	10,259	0,0
412,015	47,500	0,000	10,253	47,541	0,000	10,250	0,0
413,060	47,500	0,000	10,253	47,541	0,000	10,225	0,0
414,010	47,500	0,000	10,253	47,547	0,000	10,238	0,0
415,055	47,500	0,000	10,253	47,556	0,000	10,241	0,0
416,005	47,500	0,000	10,253	47,538	0,000	10,259	0,0
417,050	47,500	0,000	10,253	47,534	0,000	10,225	0,0
418,000	47,500	0,000	10,253	47,522	0,000	10,231	0,0
419,046	47,500	0,000	10,253	47,531	0,000	10,225	0,0
420,090	47,500	0,000	10,253	47,522	0,000	10,228	0,0
421,040	47,500	0,000	10,253	47,528	0,000	10,231	0,0
422,086	47,500	0,000	10,253	47,534	0,000	10,234	0,0
423,035	47,500	0,000	10,253	47,550	0,000	10,222	0,0
424,080	47,500	0,000	10,253	47,531	0,000	10,241	0,0
425,030	47,500	0,000	10,253	47,538	0,000	10,234	0,0
426,075	47,500	0,000	10,253	47,541	0,000	10,234	0,0
427,025	47,500	0,000	10,253	47,525	0,000	10,238	0,0
428,070	47,500	0,000	10,253	47,541	0,000	10,228	0,0
429,020	47,500	0,000	10,253	47,541	0,000	10,234	0,0
